period,respondent,respondent-name,type-name,value,value-units
2024-05-07T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,24953,megawatthours
2024-05-07T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,23851,megawatthours
2024-05-07T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,22795,megawatthours
2024-05-07T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,22079,megawatthours
2024-05-07T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,22005,megawatthours
2024-05-07T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,22545,megawatthours
2024-05-07T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,23663,megawatthours
2024-05-07T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,24565,megawatthours
2024-05-07T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,25523,megawatthours
2024-05-07T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,26741,megawatthours
2024-05-07T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,28222,megawatthours
2024-05-07T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,29848,megawatthours
2024-05-07T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,31327,megawatthours
2024-05-07T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,32802,megawatthours
2024-05-07T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,33836,megawatthours
2024-05-07T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,34651,megawatthours
2024-05-07T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,35211,megawatthours
2024-05-07T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,35176,megawatthours
2024-05-07T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,34640,megawatthours
2024-05-08T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,33852,megawatthours
2024-05-08T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,33152,megawatthours
2024-05-08T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,32186,megawatthours
2024-05-08T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,29970,megawatthours
2024-05-08T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,27617,megawatthours
2024-05-08T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,25679,megawatthours
2024-05-08T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,24745,megawatthours
